choices,labels,question
"['A) counter', 'B) coffee table', 'C) school room', 'D) backpack', 'E) bedside table']",B,Kramer wrote a self-referential book.  What might that book be about?
"['A) very entertaining', 'B) fun', 'C) slow', 'D) competitive', 'E) violent']",E,"Of all the sports, Billy enjoys football, but what does his concerned mother think of the sport?"
"['A) chicago', 'B) big city', 'C) large city building', 'D) environment', 'E) college campus']",A,What city will likely have many parking structures?
"['A) fight enemy', 'B) secure', 'C) being safe', 'D) safety', 'E) vicinity']",D,Sally was afraid of danger and always double checked what?
"['A) hen house', 'B) burrow', 'C) california', 'D) england', 'E) mountains']",E,What is the habitat of the fox?
"['A) eat eggs', 'B) make tools', 'C) eat dosa', 'D) talk to each other', 'E) smoke pot']",B,"People are very much like the animals, but one thing has secured or dominance over the planet.  We're better at doing what?"
"['A) suburb', 'B) neighborhood', 'C) back of house', 'D) roundabout', 'E) property']",B,"They children loved having a back yard, and the parents loved that it was a safe what?"
"['A) garage', 'B) utility room', 'C) slide', 'D) wishing well', 'E) garden']",D,"While people just throw coins down them now, what originally had a pail to be lowered for it's intended use?"
"['A) surface of earth', 'B) teardrops', 'C) snowflake', 'D) typhoon', 'E) motor']",D,Joe was thrown from his boat into the water.  The water was cold because it was the middle of winter and he cried out to his crew for help.  They couldn't hear him over the sound of the what?
"['A) deep thought', 'B) park', ""C) friend's house"", 'D) place of work', 'E) school']",D,"When a human is earning money, where are they often found?"
"['A) maryland', 'B) indiana', 'C) on tv', 'D) park', 'E) new jersey']",B,"They passed a apple tree on their way to the racetrack, the were going to watch the biggest motorsport spectacle in the world where?"
"['A) satisfaction', 'B) have fun', 'C) thrilling', 'D) made', 'E) smart']",B,Why do people play chess on the weekends?
"['A) work', 'B) tacos', 'C) mass', 'D) play sports', 'E) wrestle']",D,What do you need energy to do in gym class?
"['A) game', 'B) pouch', 'C) home', 'D) store', 'E) jar']",A,Sarah dropped the marble because she wanted to do what?
"['A) write', 'B) eat cake', 'C) smile', 'D) think critically', 'E) die']",E,"We are all human, and we all what?"
"['A) lazy', 'B) insomnia', 'C) rest', 'D) falling asleep', 'E) dreaming of']",D,"If a person were going to bed, what would be their goal?"
"['A) shelf', 'B) board', 'C) church', 'D) table', 'E) dark']",E,What are candles good for eliminating?
"['A) poisonous gas', 'B) homicide', 'C) cinder', 'D) nuclear weapons', 'E) cyanide']",B,WHat leads to an early death?
"['A) study', 'B) house', 'C) homw', 'D) kitchen', 'E) den']",A,What room would you find many bookcases and is used for contemplation?
"['A) night sky', 'B) galaxy', 'C) outer space', 'D) hollywood', 'E) eat cake']",C,Where do you head to travel to a star?
"['A) museum', 'B) high school band', 'C) marching band', 'D) orchestra', 'E) band']",C,"The player lifted his cornet and walked in rhythm, what was the player a member of?"
"['A) expiration', 'B) growing older', 'C) sometimes bad', 'D) death', 'E) start reproduction']",B,What happens at soon as a living being is born?
"['A) walking', 'B) ask question', 'C) think', 'D) write question in crayon', 'E) sneeze']",B,"When someone is talking and you missed something, what can you do to get them to repeat it?"
"['A) sewing room', 'B) clothing store', 'C) tailor shop', 'D) clothes store', 'E) cotton mill']",A,Where does one store fabric in their own home?
"['A) oversupply', 'B) plentitude', 'C) stockpile', 'D) superabundance', 'E) busy']",A,What do most companies not want to have relative to demand?
"['A) sweating', 'B) pain', 'C) having fun', 'D) medium', 'E) knee injury']",A,What is happening while he's playing basketball for such a long time?
"['A) bus stop', 'B) library', 'C) motel', 'D) airport', 'E) subway']",A,A traveler laments the fact that mass transit is limited in his city when his groceries get soaked by the rain as he waits where?
"['A) synagogue', 'B) for help', 'C) hospital', 'D) bus stop', 'E) building']",C,"The person was in physical distress, where should he go?"
"['A) not to live', 'B) write will', 'C) never want', 'D) seek help', 'E) go to hell']",B,"The cancer patient was expecting to die, so he made out his what?"
"['A) massachusetts', 'B) new england', 'C) my house', 'D) new jersey', 'E) connecticut']",B,"There was a toll road that meandered from Maine to New Hampshire, where was it?"
"['A) getting tired', 'B) working', 'C) procrastination', 'D) jumping', 'E) sitting down']",A,"If you partied all night you could find yourself already what, even when just beginning work?"
"['A) get wet', 'B) eat vegetables', 'C) falling', 'D) wool sweater', 'E) sharp claws']",A,"The cat carefully navigated the area, they do everything they can to avoid what?"
"['A) listening', 'B) language', 'C) looking at eyes', 'D) planning the perfect murder', 'E) voice']",A,What is someone usually doing if someone else is talking to him or her?
"['A) appear beautiful', 'B) appear blue', 'C) shows a rainbow', 'D) rain water', 'E) cloud over']",E,What does the sky do before a rain?
"['A) desktop', 'B) university', 'C) drawer', 'D) table', 'E) work']",B,"Pens, computers, text books and paper clips can all be found where?"
"['A) ball stopped', 'B) west texas', 'C) arid regions', 'D) garden', 'E) warm place']",B,What geographic area is a lizard likely to be?
"['A) office building', 'B) school', 'C) courtroom', 'D) airport', 'E) hand']",E,What do you use to carry your briefcase?
"['A) learn to walk', 'B) frightened', 'C) get away from', 'D) exercise', 'E) go faster']",E,"He picked up his pace to a run, he wanted to do what?"
"['A) talk to people', 'B) try again', 'C) fall asleep', 'D) stand alone', 'E) thank god']",D,What would a person do if they do not have any friends?
"['A) change of color', 'B) stop breathing', 'C) wake up', 'D) death and decay', 'E) getting cold']",D,"As a result of dying, what happens to organic material?"
"['A) feelings', 'B) food', 'C) unique personality', 'D) different standards', 'E) values']",A,What does everyone have in relation to other people?
"['A) ask questions', 'B) count to ten', 'C) costume', 'D) state name', 'E) dress herself']",D,What do you ask a child to do when you first meet her?
"['A) counter', 'B) train station', 'C) school room', 'D) desk', 'E) department store']",E,"Where can you buy a clock, clothing and wrenches?"
"['A) interesting', 'B) look around', 'C) take pictures', 'D) change of surroundings', 'E) new experience']",B,What do you do when you're in a new place and want to see new things?
"['A) carved', 'B) melted', 'C) ice cream', 'D) antarctica', 'E) sculptured']",B,What happens when to ice when it is in the sun?
"['A) drawer', 'B) shelf', 'C) pantry', 'D) apartment', 'E) cabinet']",B,Where can you store your dishes in your dwelling?
"['A) niagra falls', 'B) forest', 'C) waterfall', 'D) ground', 'E) tree']",B,"The man laid on the soft moss and looked up at the trees, where was the man?"
"['A) reading', 'B) meditate', 'C) fall asleep', 'D) bunk', 'E) think']",A,What is someone doing if he or she is sitting quietly and his or her eyes are moving?
"['A) desk drawer', 'B) office building', 'C) manual', 'D) office supply store', 'E) desktop']",B,Where can I find a stapler in many places?
"['A) in cinema', 'B) martorell', 'C) falling down', 'D) show', 'E) airplane']",B,"A man takes a seat at a museum outside of Barcelona, where is he likely?"
"['A) toy box', 'B) movies', ""C) child's hand"", 'D) toybos', 'E) child park']",C,Where would you find a toy soldier that is being played with?
"['A) pocket', 'B) terrorists hands', 'C) airport', 'D) sea ship', 'E) briefcase']",C,Where are you when you're about to use your plane ticket?
"['A) market', 'B) table', 'C) countryside', 'D) anthology', 'E) vase']",B,"Flowers make a good center focal point, just one of many arrangements that look good on a what?"
"['A) wisconsin', 'B) waterfall', 'C) hatred', 'D) bridge', 'E) valley']",D,How can a human cross a river and not mess up their hair?
"['A) shelf', 'B) soccer game', 'C) keg', 'D) can', 'E) refrigerator']",D,Batman bought beer.  There were no bottles available.  He had to settle for what?.
"['A) south american country', 'B) rain forest', 'C) pay debts', 'D) works', 'E) nigeria']",E,You can find a monkey in what West African region on the Gulf of Guinea
"['A) humor', 'B) fight', 'C) jocose', 'D) laughter', 'E) accidents']",B,Surprising an angry person could lead to what?
"['A) cruise ship', 'B) home', 'C) mall', 'D) restaurant', 'E) dark cave']",B,Where is a dining area likely to be small?
"['A) vengeance', 'B) going to prison', 'C) joy', 'D) afraid', 'E) terrible']",C,Killing people should not cause what emotion?
"['A) exhilaration', 'B) interactions', 'C) head injuries', 'D) death', 'E) having fun']",C,"James slamed into someone playing football, and not for the first time.  He was concerned about the consequences of many what?"
"['A) enjoy living', 'B) happy', 'C) enjoyable', 'D) get laid', 'E) do enjoy']",A,"More people should lower the guard and just have fun, we don't got long just what?"
"['A) desert country', 'B) dessert', 'C) pet shop', 'D) tropical areas', 'E) zoo']",C,Where can you get a lizard to keep in your home?
"['A) guitar', 'B) music room', 'C) orchestra', 'D) case', 'E) movie']",C,What would use a musical instrument?
"['A) relationship', 'B) marriage', 'C) fidelity', 'D) love', 'E) divorce']",B,"She was in an affair, what did that end upon discovery by her husband?"
"['A) one moon', 'B) milky way', ""C) god's creation"", 'D) stars', 'E) universe']",B,What is the most famous constellation out of earth?
"['A) room service', 'B) church basement', 'C) lobby', 'D) large room', 'E) country club']",C,"If a reception is held with hotel guests walking by, what is the likely venue?"
"['A) refrigerator', ""B) friend's house"", 'C) keg', ""D) neighbor's house"", 'E) kitchen']",B,What is a place that is far away from your house and where you could consume beer?
"['A) change of heart', 'B) anguish', 'C) anger', 'D) boredom', 'E) anxiety']",A,"If a court case is dismissed after hearing testimony, what would be a likely cause?"
"['A) flatulence', 'B) happiness', 'C) laziness', 'D) fall asleep', 'E) comfort']",A,Sitting down quickly after eating beans could lead to what?
"['A) away', 'B) distant', 'C) remote person', 'D) bore', 'E) foe']",B,"John was my neighbor, it was easy to talk to him. He was never what?"
"['A) table', 'B) office', 'C) desk', 'D) kitchen', 'E) ocean']",B,Where do people want to have a lot of coffee?
"['A) stay alive', 'B) wanted to survive', 'C) nutrition', 'D) grew', 'E) full']",E,"You stop and have food all around you, what are you?"
"['A) relaxation', 'B) panic', 'C) alarm', 'D) joy', 'E) cheer']",A,James was meeting a friend.  They had planed a slow day. They didn't want to do much.  They just wanted what?
"['A) sturdy', 'B) faithful', 'C) bound', 'D) compact', 'E) packaged']",D,"The car's steering seem quite loose, but he still considered purchasing it because he needed something small and what?"
"['A) arizona', 'B) farm yard', 'C) michigan', 'D) german field', 'E) dairy farm']",C,"Dan was a farmer with just one heifer.  But that was okay, he only kept her for milk, and he didn't think he'd find good farmland in a place as cold as where?"
"['A) hatred', 'B) sleeping in', 'C) rest', 'D) making love', 'E) insomnia']",B,It's Friday night and Alice puts off going to bed because she plans on doing what Saturday?
"['A) eastern united states', 'B) michigan', 'C) map', 'D) choppers', 'E) american city']",C,"His phone was dead and they couldn't find the expressway, he opened up the glove compartment and handed his passenger the what to navigate?"
"['A) car stand', 'B) at hotel', 'C) own home', 'D) front door', 'E) bus depot']",C,What would someone use a personal key for?
"['A) litter tray', 'B) whiskers', 'C) hungry', 'D) feline', 'E) thirsty']",C,"The cat kept pestering it's owner, it was that time of the day and it was what?"
"['A) symphony', 'B) concerto', 'C) choir', 'D) theater troupe', 'E) marching band']",C,"Her voice lent her to the alto section, what group did she join?"
"['A) california', 'B) downtown', 'C) large town', 'D) tokio', 'E) china town']",A,Where are you likely to find a Japanese restaurant not run by people from Japan?
"['A) reproduce asexually', 'B) males', 'C) mammals', 'D) attack', 'E) ocean']",C,Animals who have hair and don't lay eggs are what?
"['A) england', 'B) new hampshire', 'C) street', 'D) arkansas', 'E) north dakota']",B,John was an aristocratic fox hunter.  Where might he live?
"['A) field', 'B) bathroom', 'C) michigan', 'D) minnesota', 'E) painting']",E,Where is a grape likely to be being fed to someone else?
"['A) shop', 'B) bookcase', 'C) shelf', 'D) refrigerators', 'E) kitchen']",D,"Some food can be stored at room temperature until you open it, then you should keep it in what?"
"['A) awake', 'B) horror', 'C) dreamworker', 'D) reality', 'E) nightmare']",E,Sam couldn't get back to sleep because of a dream he had.  It was a what?
"['A) getting drunk', 'B) making new friends', 'C) new contacts', 'D) doing drugs', 'E) set home']",B,If you're going to a party in a new town what are you hoping to make?
"['A) practice', 'B) sense of balance', 'C) driving', 'D) good balance', 'E) pedalling']",E,How is riding a bike getting it to move?
"['A) books and magazines', 'B) own home', 'C) kitchen', 'D) shelf', 'E) meeting']",D,Where does one usually keep literature?
"['A) killing', 'B) typewriter', 'C) office', 'D) terminal', 'E) organ']",E,WHat type of keyboard is made up of one or more pipe divisions?
"['A) run away', 'B) wind instrument', 'C) funnel', 'D) blunderbuss', 'E) associated with telephones']",C,"The bell rang, and the congregation began to what in to the church?"
"['A) rough', 'B) non smooth', 'C) uneven', 'D) plastic', 'E) bumpy']",A,"James needed smooth sandpaper, but instead he got what type?"
"['A) sewer', ""B) neighbor's house"", 'C) apartment', 'D) room', 'E) floor']",B,Where would you borrow furniture if you do not have any?
"['A) death', 'B) flying', 'C) reproducing', 'D) food consumed', 'E) eventually die']",C,What must happen for an animal to and it's offspring to continue livng?
"['A) movies', 'B) bed', 'C) moon', 'D) vault', 'E) cellar']",E,"I want my wine stored in darkness, where should it go?"
"['A) michigan', 'B) florida', 'C) wine', 'D) texas', 'E) building']",E,"If I want to open a steakhouse, what should I get first?"
"['A) serious', 'B) longplay', 'C) musical', 'D) eat cake', 'E) doing nothing']",C,"Sarah didn't like to play but she didn't want to be sedentary and bored, either, so she took up what?"
"['A) cupboard', 'B) closet', 'C) storage bag', 'D) mail box', 'E) garage']",D,Joe found spiders while checking something outside.  What might that be?
"['A) wait for', 'B) bathe', 'C) go for haircut', 'D) plan revenge', 'E) dress nice']",A,What would you do if your date does not show up?
"['A) work', 'B) dress himself', 'C) marry', 'D) dress herself', 'E) drive train']",B,What did the adult do before the job interview?
"['A) overpriced', 'B) purchase', 'C) expensive', 'D) park', 'E) buying']",A,Most items in retail stores are what even when they are on sale?
"['A) michigan', 'B) swimming pool', 'C) atlantic ocean', 'D) nursery', 'E) gulf of mexico']",D,John farms anemone in what type of facility?
"['A) dry clothes', 'B) warm house', 'C) warm room', 'D) shine brightly', 'E) get dark']",C,Brawn opened the curtains so that the sun could do what?
"['A) damage', 'B) wonderful', 'C) exhaustion', 'D) orgasm', 'E) lazy']",B,How might releasing energy that has built up feel?
"['A) hear news', 'B) analyse', 'C) go somewhere', 'D) examine thing', 'E) see favorite show']",B,What would you do if you have curiosity but are blind and paralyzed?
"['A) apartment', 'B) loft', 'C) store', 'D) rug', 'E) stairs']",B,Where might it be hard to get furniture to?
"['A) detention', 'B) graduate', 'C) follower', 'D) inspiration', 'E) boredom']",D,A great teacher can be what when you are attending school?
"['A) shopping mall', 'B) museum', 'C) laundromat', 'D) clothing store', 'E) bedroom']",D,Where would you get jeans and other wearable items to take home with you?
"['A) sky', 'B) top of mountain', 'C) air', 'D) ground level', 'E) outer space']",C,In what substance do clouds float?
"['A) manhattan', 'B) office', 'C) the city', 'D) fifth avenue', 'E) new york city']",E,Where is the large area location of the empire state building?
"['A) coffee shop', 'B) office', 'C) table', 'D) washing', 'E) kitchen']",E,Where do most people make coffee?
"['A) bodycam', 'B) home', 'C) coffin', 'D) funeral', 'E) graveyard']",D,What kind of service is my body a part of when I'm no longer here?
"['A) living less expensively', 'B) england', 'C) prison', 'D) city', 'E) town']",D,"Many people wanted to leave their country estates for row houses, what did they need to move to?"
"['A) hardware store', 'B) toolbox', 'C) logging camp', 'D) tool kit', 'E) auger']",A,Where can someone get a new saw?
"['A) express information', 'B) touch everything', 'C) think', 'D) give clue', 'E) analyse']",E,What would you do to a crime scene before asking a question?
"['A) big city', 'B) fraternity house', 'C) school', 'D) building', 'E) big town']",B,"The man didn't do great in college, all his best memories were late night with his brothers at the what?"
"['A) frightened', 'B) run up stairs', 'C) get away from', 'D) go quickly', 'E) go faster']",C,In a horror movie victims usually trip when the run in order to do what in regards to the killer?
"['A) stagnant', 'B) stagnation', 'C) tradition', 'D) hunger', 'E) paper money']",B,"The coach decided to make a lineup change, the team's effort was suffering from what?"
"['A) mall', 'B) grocery store', 'C) grocery store', 'D) shop', 'E) supermarket']",A,Where would you go if you want to buy some clothes?
"['A) etna', 'B) cupboard', 'C) oven', 'D) stomach', 'E) fridge']",B,Where is food likely to stay dry?
"['A) managed', 'B) effectively treated', 'C) recur', 'D) cause delusion', 'E) illusion']",A,What is it called when a person with mental illness is able to lead a relatively normal life?
"['A) bank', 'B) orchestra', 'C) case', 'D) music room', 'E) movie']",C,Where do you keep musical instrument so it doesn't get scratched?
"['A) entertainment', 'B) falling asleep', 'C) getting fat', 'D) crying', 'E) relaxation']",E,"The woman is watching television and trying to forget her day, what is her goal?"
"['A) eastern hemisphere', 'B) the city', 'C) open plain', 'D) television program', 'E) great outdoors']",E,"While John Candy and Dan Aykroyd didn't run into a gazelle, you'd have to go where to see one?"
"['A) stretches', 'B) running from police', 'C) learn to walk', 'D) go quickly', 'E) get out of bed']",D,When we are running what are we doing?
"['A) slavery', 'B) caught', 'C) caged in', 'D) topfree', 'E) prisoner']",C,It's dangerous to let pet birds free so it's better to keep them what?
"['A) british columbia', 'B) body of water', 'C) wooded area', 'D) pay debts', 'E) zoo']",C,"A beaver is know for building prowess, their supplies come from where?"
"['A) panic', 'B) discussion', 'C) attention', 'D) confusion', 'E) satisfaction']",D,Zane doesn't like answering questions.  He's not good at it because he suffers from what?
"['A) wide acceptance', 'B) a degree', 'C) pain', 'D) getting high', 'E) press coverage']",A,Going public about a common problem can gain what for a celebrity?
"['A) opera', 'B) concert', 'C) basement', 'D) bedroom', 'E) grand canyon']",A,"The electricity went out and everyone was shrouded in darkness.  They all remained in their seats, because it would have been dangerous to try to find there way out.  Where mihgt they have been?"
"['A) clerk', 'B) mall', 'C) strip mall', 'D) city', 'E) neighborhood']",D,Where could you find hundreds of beauty salon?
"['A) halloween', 'B) summer', 'C) easter', 'D) kwaanza', 'E) give gift']",A,If it is Chrismas time what came most recently before?
"['A) family picture book', 'B) family reunion', ""C) brother's house"", 'D) family tree', 'E) baby shower']",D,"If someone found out their brother was having a daughter, they would have to add a niece limb to the what?"
"['A) willing', 'B) optional', 'C) should not', 'D) have to', 'E) unnecessary']",E,"The criminal insisted he must do the crime to the bank teller, but she tried to convince him there were other ways in life and this was what?"
"['A) squid', 'B) fountain pen', 'C) pencil case', 'D) newspaper', 'E) printer']",B,what do you fill with ink to write?
"['A) expected', 'B) wanting', 'C) calm', 'D) thundershock', 'E) surprised']",E,"He walked into the room and had a great shock, his friends had what him?"
"['A) have sex', 'B) smile', 'C) hug each other', 'D) conversation', 'E) handshake']",E,"He wasn't the hugging type, even when he meet friend he'd just do what?"
"['A) truck stop', 'B) amusement park', 'C) atlas', 'D) mall', 'E) gas station']",E,"If you were lost you might need a map, the best place to find one on the road is at any what?"
"['A) sports', 'B) fishing gear', 'C) soccer game', 'D) fishing boat', 'E) badminton']",D,Where would you put a net if you wanted to use it?
"['A) exchanging ideas', 'B) confusion', 'C) peer pressure', 'D) response', 'E) learning']",A,Sage loved communicating  He liked doing what with his peers?
"['A) floor', 'B) humane society', 'C) bed', 'D) comfortable chair', 'E) window sill']",D,Where would a cat snuggle up with their human?
"['A) radio shack', 'B) electrical device', 'C) shower', 'D) substation', 'E) television']",D,What is a place that has large cable hanging overhead?
"['A) freeway', 'B) road', 'C) race track', 'D) alley', 'E) parking lot']",C,Where do cars usually travel at very high speeds?
"['A) baggage compartment', 'B) movie', 'C) subway', 'D) airplane', 'E) cargo hold']",B,What might a person be watching if they see a man with a suitcase full of money?
"['A) mess', 'B) hungry', 'C) feel guilty', 'D) indigestion', 'E) spills']",C,Eating breakfast in bed while seeing a homeless person shivering outside your window may cause you to what?
"['A) kitchen', 'B) safe', 'C) own house', 'D) building', 'E) pantry']",C,"If I put in my key and open a hinged door, where am I likely entering?"
"['A) motel', 'B) hostel', 'C) building', 'D) lobby', 'E) office park']",C,"If somebody is working at a reception desk, they are located at the front entrance of the what?"
"['A) learning about world', 'B) education', 'C) get angry', 'D) concern', 'E) eat cake']",A,If you're reading a newspaper from another country what are you doing?
"['A) certificate', 'B) directory', 'C) phone book', 'D) lineup', 'E) roster']",A,"They wanted to recognize his accomplishment, where should they put his name?"
"['A) procrastinate', 'B) complete collection', 'C) headache', 'D) good time management', 'E) have to hold']",A,What is it called when a person tends to leave things to the last minute?
"['A) walk', 'B) agitate', 'C) wander', 'D) remove', 'E) disturb']",C,What will you do if you do not want to settle in one place?
"['A) woods', 'B) bed', 'C) suburbs', 'D) rural', 'E) neighborhood']",C,Where would a person live that isn't in the metro area but still has good schools?
"['A) capitol building', 'B) everything', 'C) washington d.c', 'D) russia', 'E) canada']",A,"Jane works for the government as a senator, where does she spend a lot of time?"
"['A) take oath', 'B) procreate', 'C) matrimony', 'D) please parents', 'E) live life']",B,What is it called when two people in love have children?
"['A) run away', 'B) hurry along', 'C) fine motorists', 'D) direct traffic', 'E) help']",E,What did the policemen do when they heard a cry from a distance?
"['A) take care of proposals', 'B) begin work', 'C) in charge of project', 'D) eat cake', 'E) go to school']",B,"It takes ambition to complete a job, but the first step is to what?"
"['A) hen house', 'B) english hunt', 'C) mountains', 'D) outside bedroom window', 'E) england']",A,Where would I not want a fox?
"['A) go down', 'B) apartment building', 'C) tall building', 'D) office building', 'E) cabin']",C,What type of building has the most top floor?
"['A) celebrate', 'B) burial', 'C) life', 'D) rebirth', 'E) decomposition']",B,What do humans do to other humans after death?
"['A) yellow pages', 'B) town', 'C) business sector', 'D) town', 'E) at hotel']",A,Where can you find a restaurant's phone number?
"['A) stove', 'B) water fountain', 'C) desk', 'D) purse', 'E) jar']",B,What would you put coins into to make it work?
"['A) city', 'B) canada', 'C) minnesota', 'D) thermal', 'E) photograph']",E,"A patriotic guy with a camera is looking for a bald eagle, what is he likely to do with the eagle if he finds one?"
"['A) music school', 'B) music store', ""C) neighbor's house"", 'D) lunch', 'E) drawing room']",C,Where can you go to use a piano in your neighborhood if you don't have one?
"['A) department store', 'B) restaurant', 'C) hotel', 'D) dime store', 'E) bathtub']",A,Where would you get a shower curtain if you do not have one?
"['A) anus', 'B) partner', 'C) arousal', 'D) trust', 'E) cooperation']",B,Kissing is normally an activity reserved for your romantic what?
"['A) count to ten', 'B) state name', 'C) dress herself', 'D) clean room', 'E) socialize']",C,What does a child learn to do before school?
"['A) get tired of', 'B) small talk', 'C) eye contact', 'D) friendship', 'E) social life']",C,"He was getting advice for the job interview, they told him when talking to the interviewer always make what?"
"['A) bible', 'B) spain', 'C) harry potter', 'D) new york', 'E) woods']",A,According to what book did an apple tree lead to the downfall of man?
"['A) stairwell', 'B) arena', 'C) ocean', 'D) airport', 'E) apartment building']",E,"The neighborhood had a great sense of community, there was always a crowd at the landing of the what?"
"['A) cross street', 'B) talk to themselves', 'C) open doors', 'D) throw away', 'E) study greek']",C,What might a kind person do?
"['A) cross street', 'B) draw attention to themselves', 'C) make money', 'D) falling down', 'E) come home']",C,What will a person do at work?
"['A) tennessee', 'B) south carolina', 'C) louisiana', 'D) oklahoma', 'E) mountains']",B,John saw a fox running along the beach and was glad to be on the east coast.  Where might he have been?
"['A) loft', 'B) attic', 'C) bell cat', 'D) countryside', 'E) laboratory']",B,Name a location where you would not want to find mice.
"['A) exhaustion', 'B) getting in shape', 'C) fitness', 'D) injure himself', 'E) fatigue']",B,"The man started to learn jogging, what was he hoping to do?"
"['A) internet', 'B) book', 'C) online', 'D) google', 'E) manual']",D,Where do most people turn to get information on their phones?
"['A) rebirth', 'B) human experience', 'C) sadness', 'D) decomposition', 'E) obesity']",D,What happens to a body after death?
"['A) beef stew', 'B) own kitchen', 'C) clam chowder', 'D) kitchen cabinet', 'E) pantry']",C,What type of non-vegetarian soup is one likely to find a potato?
"['A) qualification', 'B) strength', 'C) pity', 'D) competence', 'E) potential']",E,"Though she had a disability, what did her encouraging and positive coach see in her?"
"['A) park', 'B) practice', 'C) fact', 'D) practical', 'E) practise']",B,"They had a theory of what they could do in t he big game, so over and over they would what?"
"['A) sun set', 'B) near', 'C) fall', 'D) below', 'E) lower']",D,"When you see something rise, you are where in relation to it?"
"['A) cabinet', 'B) house', 'C) recycling center', 'D) backpack', 'E) make person sick']",D,"They were getting ready for a really long hike, he put the food can in his what?"
"['A) persia', 'B) desk', 'C) table', 'D) living room', 'E) hall']",D,Where would you keep a rug near your front door?
"['A) obesity', 'B) fall down', 'C) matter to', 'D) whatever', 'E) surprise']",B,When you slip from a ladder propped on anything what will you do?
"['A) table', 'B) disneyland', 'C) refrigerators', 'D) pantry', 'E) shop']",E,What do you do when you need to get food?
"['A) go down', 'B) fall down', 'C) lie down', 'D) lie to himself', 'E) sit down']",C,"Brad tried to arise from bed but he could not.  Instead, he just continued to do what?"
"['A) home', 'B) dairy farm', 'C) cattle show', 'D) dairy barn', 'E) corral']",C,"If a heifer is really high quality, you might take her where?"
"['A) home', 'B) wealth', 'C) bankruptcy', 'D) lose money', 'E) get rich']",B,What do people want to acquire from opening business?
"['A) graduated', 'B) masters', 'C) postgraduate', 'D) phd', 'E) professor']",A,What has someone who had finished their undergraduate done?
"['A) ocean', 'B) getting off of bus', 'C) airport', 'D) urban area', 'E) towns']",D,Where are bus stops more common in what parts?
"['A) bus station', 'B) paradise', 'C) train station', 'D) park', 'E) sea']",D,"Bill wanted to pick up a stranger, preferably a responsible one with kids.  Where might he look for one?"
"['A) desert', 'B) hole', 'C) india', 'D) cage', 'E) rain forest']",C,Where might a lemur frolic in the market?
"['A) rug', 'B) room', 'C) toy', ""D) friend's house"", 'E) building']",A,What might I place under the furniture?
"['A) fear', 'B) injury', 'C) happiness', 'D) action', 'E) cut']",D,Everybody began performing once their director stated what?
"['A) pleasure', 'B) greater mobility', 'C) desire to travel', 'D) global warming', 'E) increased security']",C,"By learning about the world, many poor college students gain what?"
"[""A) friend's house"", 'B) university', 'C) large city', 'D) storage', 'E) table']",B,Where are required to carry books all day?
"['A) beach', 'B) sea', 'C) ocean', 'D) water', 'E) sea plant']",C,where is seaweed from?
"['A) oven', 'B) freezer', 'C) plate', 'D) tupperware', 'E) grill']",B,how can i store cooked steak?
"['A) closet', 'B) under the bed', 'C) television', 'D) attic', 'E) most buildings']",D,John wanted to clean all of the dust out of his place before settling down to watch his favorite shows.  What might he hardest do dust?
"['A) eyes', 'B) animal', 'C) fingertips', 'D) brainstem', 'E) human body']",B,"Something had the nerve to break into the garbage last night, what did it?"
"['A) bookstore', 'B) drawer', 'C) health department', 'D) mail box', 'E) library']",A,Where would you go to get some pamphlets if you want to own them?
"['A) school', 'B) sporting event', 'C) concert hall', 'D) show', 'E) television']",B,"The audience cheered when a goal was scored, what were they spectating?"
"['A) picture of sea side', 'B) seaside town', 'C) beach', 'D) california', 'E) see side picture']",D,What western state has thousands of miles of shore?
"['A) profane', 'B) halibut', 'C) damaged', 'D) common', 'E) halibut']",D,"Everybody seemed to be crying at the holy site, the tour guide explained that this was what?"
"['A) manual', 'B) rainbow', 'C) cry', 'D) frown', 'E) make others happy too']",C,The smile gave away that the what was one of happiness?
"['A) municipal park', 'B) office', 'C) state park', 'D) cemetary', 'E) public gardens']",A,Where is a public monument likely to be erected by a city?
"['A) housing estate', 'B) neighborhood', 'C) mars', 'D) woods', 'E) suburbs']",D,Where would a person live if they wanted no neighbors?
"['A) building', 'B) factory', 'C) window', 'D) prison', 'E) nuclear power plant']",E,Where is the control room that controls a PWR located?
"['A) get lost', 'B) require water', 'C) trained', 'D) bark', 'E) roll over']",A,What happens to a dog before someone puts up posters of them?
"['A) texas', 'B) building', 'C) kansas city', 'D) maine', 'E) falling down']",A,Where are the most famous BBQ steakhouses in america?
"['A) building', 'B) conference', 'C) assessment', 'D) demonstration', 'E) garage']",B,"He kept plugging away in his cubicle, it seemed he was the only person not called into the what?"
"['A) boredom', 'B) malaria', 'C) graduate', 'D) inspiration', 'E) detention']",A,If you're attending school and are falling asleep you're likely experiencing what?
"['A) orchestra', 'B) church', 'C) chinese temple', 'D) chinatown', 'E) music store']",E,"I want to buy a gong, where should I look for one?"
"['A) call each other', 'B) group together', 'C) understand each other', 'D) meet for lunch', 'E) part company']",B,What would friends do if they need each others' help?
"['A) believe in god', 'B) dance', 'C) desire to win', 'D) destroy each other', 'E) run amok']",C,"When people are playing a game, what is their motivation to play?"
"['A) court room', 'B) war', 'C) video game', 'D) iraq', 'E) church']",A,Where could there be a battle that involves words?
